IS019;Leite Cabra cru;69;290;86.9;3.8;4;4.6;4.8;4.6;0;0;0;0;0;2.6;1.1;0.1;0.1;0.1;11;0.053;53;0;0.05;0.03;0.05;0.1;1;0.3;0.7;0.04;0.08;3;1;0.85;40;181;153;120;20;0.2;0.3
IS020;Leite Ovelha cru;93;388;86.9;5.1;6.2;4.2;4.4;4.2;0;0;0;0;0;3.3;1.5;0.2;0.3;0.2;55;0.05;50;0;0.17;0.11;0.06;0.15;1.1;0.2;0.9;0.074;0.15;5;5;0.93;37;116;190;140;15;0.2;0.7
IS021;Leite Vaca Esterilizado gordo;61;256;88.3;3;3.5;4.5;4.7;4.5;0;0;0;0;0;2;0.8;0.1;0.1;0.1;13;0.053;53;21;0.05;0.09;0.04;0.14;1.6;0.9;0.7;0.038;0.1;0;0.05;0.72;43;153;120;81;10;0.1;0.4
IS026;Leite Vaca Esterilizado magro;32;134;91.3;3.2;0.1;4.7;4.9;4.7;0;0;0;0;0;0.1;0;0;0;0;1;0;0;7;0;0;0.02;0.05;0.9;0.1;0.8;0.04;0.1;0;0.05;0.72;41;172;120;100;10;0.2;0.8
IS024;Leite Vaca Esterilizado meio gordo;45;187;89.9;3.2;1.5;4.7;4.9;4.7;0;0;0;0;0;0.8;0.3;0;0.1;0;8;0.017;17;8;0.05;0.03;0.02;0.11;1;0.2;0.8;0.04;0.1;0;0.05;0.72;41;162;120;92;10;0.2;0.5
IS028;Leite Vaca Esterilizado achocolatado meio gordo;62;260;85;3.3;1.1;9.9;10.4;9.9;0;0;0;0;0;0.6;0.3;0;0;0;6;0.012;12;5;0.05;0.07;0.01;0.16;1.9;1.1;0.8;0.03;0.08;0;5;0.72;55;174;106;92;14;0.3;1
IS022;Leite Vaca Pasteurizado gordo;62;259;88;3;3.5;4.7;4.9;4.7;0;0;0;0;0;2;0.8;0.1;0.1;0.1;13;0.056;56;21;0.05;0.09;0.04;0.14;0.9;0.2;0.7;0.06;0.39;0;6;0.72;43;154;114;88;11;0.1;0.4
IS030;Leite Vaca Pasteurizado gordo especial;62;258;88.1;3.1;3.4;4.8;5;4.8;0;0;0;0;0;1.9;0.8;0.1;0.1;0.1;13;0.038;38;140;0.05;0.09;0.03;0.16;0.9;0.2;0.7;0.06;0.39;1;6;0.72;37;154;113;91;10;0.2;0.5
IS023;Leite Vaca UHT gordo;62;259;88.1;3;3.5;4.7;4.9;4.7;0;0;0;0;0;2;0.8;0.1;0.1;0.1;13;0.059;59;29;0.05;0.07;0.04;0.14;0.9;0.2;0.7;0.039;0.18;0;1;0.75;43;160;109;77;9;0.1;0.4
IS027;Leite Vaca UHT magro;34;144;90.5;3.4;0.2;4.9;5.1;4.9;0;0;0;0;0;0.1;0.1;0;0;0;1;0;0;0;0;0;0.05;0.18;0.8;0.1;0.7;0.05;0.11;0;1;0.77;41;162;114;82;10;0.1;0.4
IS025;Leite Vaca UHT meio gordo;47;196;89.1;3.3;1.6;4.9;5.1;4.9;0;0;0;0;0;0.9;0.4;0;0.1;0;8;0.022;22;12;0.05;0.03;0.04;0.18;0.9;0.2;0.7;0.05;0.12;0;1;0.76;40;163;112;81;9;0.1;0.5
IS029;Leite Vaca UHT aromatizado meio gordo;59;248;86.6;3;1.8;7.9;8.3;7.9;0;0;0;0;0;1;0.4;0.1;0.1;0.1;8;0.031;31;15;0.05;0.03;0.03;0.16;0.9;0.2;0.7;0.05;0.19;0;2;0.72;42;149;109;86;9;0.4;0.5
IS034;Leite Vaca Condensado;334;1398;25;7.8;9;56.4;59.2;56.4;0;0;0;0;0;5.4;2;0.3;0.3;0.2;34;0.161;161;74;0.05;0.2;0.05;0.4;3;1.2;1.8;0.07;0.5;0;14;1.8;137;390;336;234;30;0.4;1.2
IS031;Leite Vaca em pó gordo;493;2061;2.6;26.8;25.9;38.7;40.6;38.7;0;0;0;0;0;14.5;5.9;0.7;0.9;0.7;69;0.296;296;158;0.24;0.61;0.22;1.2;7.6;1.3;6.3;0.48;2;8;46;6;345;1219;918;751;105;0.6;3.2
IS033;Leite Vaca em pó magro;356;1489;3.4;35.1;0.9;52.7;55.3;52.7;0;0;0;0;0;0.5;0.2;0;0;0;23;0;0;0;0;0.01;0.32;1.8;10;2.1;8.2;0.58;3;9;50;8.05;524;1690;1272;1028;138;0.6;4.1
IS032;Leite Vaca em pó meio gordo;424;1774;3.2;30.7;13.5;45.6;47.9;45.6;0;0;0;0;0;7.6;3.1;0.4;0.5;0.4;41;0.212;212;113;0.12;0.3;0.26;1.7;9.2;2;7.2;0.51;2.5;6;43;7.05;441;1463;1149;881;118;0.4;3.7
IS035;Leite Vaca evaporado;135;566;74;6.6;7.8;9.8;10.3;9.8;0;0;0;0;0;4.4;1.8;0.2;0.3;0.2;28;0.129;129;106;0.05;0.14;0.06;0.31;2.2;0.6;1.6;0.06;0.08;0;9;1.8;144;317;259;230;22;0.1;0.8
IS038;Leite Humano;66;275;87.5;1.4;3.4;7.5;7.9;7.5;0;0;0;0;0;1.5;1.3;0.4;0;0.3;16;0.068;68;24;0.05;0.35;0.08;0.03;0.7;0.2;0.5;0.01;0.01;4;6;0.2;19;69;32;19;4;0.1;0.1
IS036;Leite humano. colostro;59;247;87.9;2.3;2.8;6.3;6.6;6.3;0;0;0;0;0;1.2;1.2;0.3;0;0.2;31;0.184;184;135;0;1.3;0;0.03;0.85;0.05;0.8;0;0.1;2;7;0.4;59;83;26;17;4;0.1;0.2
IS037;Leite humano. transição;66;274;86.9;1.6;3.7;6.6;6.9;6.6;0;0;0;0;0;1.5;1.5;0.5;0;0.3;24;0.117;117;32;0;0.53;0.02;0.03;0.8;0.2;0.6;0;0.03;6;6;0.3;38;68;24;20;4;0.1;0.1
IS062;Nata maturada pasteurizada 30% gordura;306;1281;63;1.9;32;2.7;2.8;2.7;0;0;0;0;0;18;7.2;0.9;1.1;0.8;66;0.45;450;232;0.2;1.6;0.02;0.16;0.7;0.3;0.4;0.04;0.19;1;7;0.4;28;101;60;54;5;0.8;0.2
IS065;Nata não maturada pasteurizada 33% gordura;316;1323;61.6;2;33;2.9;3;2.9;0;0;0;0;0;18.5;7.5;0.9;1.1;0.9;97;0.36;360;186;0.28;1.1;0.02;0.16;0.7;0.2;0.5;0.03;0.2;1;7;0.5;37;105;32;62;3;0.1;0.2
