Plano Alimentar Atual
Refeicao,Hora
Pequeno Almoco,10:00,Leite Vaca Esterilizado gordo,50
Pequeno Almoco,10:00,Queijo Alcoba�a,100
Por Refeicao;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacáridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;306.5;1281.0;98.25;18.2;23.75;3.75;3.75;1.6;0.0;0.0;0.0;0.0;12.6;5.7;0.8500000000000001;0.9500000000000001;0.75;94.5;131.5;14.5;0.205;0.415;0.06;0.47000000000000003;5.3;1.05;4.25;0.08900000000000001;1.1500000000000001;0.0;25.025;4.46;964.5;143.5;676.0;410.5;50.0;0.75;2.6
Meio da Manha 1,11:00,Bolacha �gua e sal,15.5
Meio da Manha 1,11:00,Iogurte A�ucarado batido meio gordo,100
Por Refeicao;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacáridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;160.905;672.3299999999999;79.7215;6.219;4.859;22.555;13.317;0.45;0.0;9.238000000000001;0.0;0.496;2.378;1.399;0.5185000000000001;0.131;0.503;8.0;45.0;26.0;0.0;0.24150000000000002;0.0493;0.39555000000000007;1.696;0.41700000000000004;1.279;0.0493;0.0;0.0;11.1;1.0755000000000001;165.94;274.26;166.185;158.475;16.945;0.41700000000000004;0.693
Meio da Manha 2,12:00,Flocos de aveia,50
Meio da Manha 2,12:00,N�o Alco�licas. Sumo de frutos 100%. laranja ,100
Por Refeicao;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacáridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;221.0;922.5;94.25;7.05;3.0;40.35;11.0;0.7;0.0;29.35;0.0;3.35;0.6;1.75;0.44999999999999996;0.75;0.44999999999999996;0.0;8.0;50.0;0.0;0.95;0.20500000000000002;0.07;3.05;1.4;1.6500000000000001;0.17;0.0;41.0;56.0;1.06;6.0;307.5;26.0;120.0;66.0;1.05;2.35
Almoco,13:00,Salm�o grelhado,250
Almoco,13:00,Batata assada no forno,150
Por Refeicao;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacáridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;998.0;4183.0;219.65;64.0;66.45;35.55;2.25;0.0;0.0;33.3;0.0;3.15;12.15;25.2;20.8;0.0;4.15;130.0;175.0;0.0;23.0;12.4;0.82;0.345;25.45;13.4;12.05;1.2149999999999999;3.0;22.5;76.0;10.7;2769.0;1897.5;188.0;886.0;131.5;1.45;2.7
Meio da Tarde 1,15:00,Donut,100
Meio da Tarde 1,15:00,N�o Alco�licas. Bebida Refrigerante cola,330
Por Refeicao;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacáridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;507.2;2129.2;323.44;6.6;21.7;72.7;44.3;0.0;0.0;28.4;0.0;3.0;9.6;7.5;1.8;1.1;1.7;31.0;180.0;270.0;0.8;1.0;0.18;0.09;2.3;1.1;1.2;0.04;0.005;0.0;19.0;2.23;246.5;93.3;54.8;128.0;17.3;1.4;0.6
Meio da Tarde 2,17:00,Croissant,100
Meio da Tarde 2,17:00,N�o Alco�licas. Ch�. infus�o. verde,100
Por Refeicao;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacáridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;416.0;1742.0;122.4;7.699999999999999;23.5;42.2;0.6;0.0;0.0;41.6;0.0;2.6;10.4;7.0;2.5;1.8;2.5;52.0;21.0;0.0;0.13;0.06;0.14;0.12000000000000001;3.7;2.1;1.6;0.085;0.005;3.0;73.05;1.43;442.0;130.0;47.0;116.0;31.0;1.8;0.9
