Plano Alimentar Prescrito
 
Refeicao;Hora;Comida;Quantidade
Pequeno Almo�o;10:00;Ovo (de galinha) estrelado com azeite;50
Pequeno Almo�o;10:00;Bacon;50
Meio da Manha 1;11:00;Queijo Flamengo 30% gordura;75
Meio da Manha 2;12:00;Madalena;50
Almo�o;13:00;Favas frescas cozidas;100
Almo�o;13:00;Chouri�o de carne de porco. magro. cozido sem adi��o de sal;80
Meio da Tarde 1;15:00;N�o Alco�licas. Caf� (Infus�o) - bica (3 marcas);25
Meio da Tarde 1;15:00;Pastel de nata;35
Meio da Tarde 2;17:00;�clair de chocolate;66
Meio da Tarde 2;17:00;N�o Alco�licas. �gua mineral natural gaseificada. Vimeiro;200
Jantar;20:00;Robalo assado com cebola. azeite. banha e manteiga;200
Jantar;20:00;Br�colos cozidos;50
Ceia;23:00;Sopa � lavrador;200
Total;;Energia (kcal);Energia (kj);Agua;Proteina;Gordura total;Total HC disponiveis;Mono + dissacaridos;Acidos organicos;Alcool;Amido;Oligossacaridos;Fibra alimentar;Acidos gordos saturados;Acidos gordos monoinsaturados;Acidos gordos polinsaturados;Acidos gordos trans;Acido linoleico;Colesterol;Vit A total;Caroteno;vit. D;a-tocoferol;Tiamina;Riboflavina;Equivalentes de niacina;Niacina;Triptofano/60;vit B6;Vit. B12;vit. C;Folatos;Cinza;Na;K;Ca;P;Mg;Fe;Ze
;;1853.41;7752.599999999999;829.3520000000001;112.91100000000002;114.28299999999999;92.69000000000001;49.112;0.0;0.0;42.778000000000006;0.7999999999999999;10.379999999999999;37.132999999999996;38.121;22.2;1.661;17.206;603.5;734.4;1273.15;11.3155;11.547;1.5421;1.1076000000000001;35.168;14.742999999999999;20.445;1.9022999999999997;5.995800000000001;41.0;216.58;22.299;4821.9;2169.1800000000003;969.47;1559.78;243.86;8.459000000000001;12.999
Energia;;Metabolismo Basal;Metabolismo Basal + Fator Atividade;Metabolismo Basal + Fator Termico;Metabolismo Basal + Fator Lesao;Proteina;Gordura;Hidratos de Carbonos;SchofieldEquation
;;1409.6999999999998;3171.825;3171.825;3171.825;120.0;66.0;166.42499999999995;1595.6200000000001
